match_id,rival,rival_confederation,peru_score,rival_score,peru_awarded_score,rival_awarded_score,result,shootout_result,awarded_result,tournament_name,tournament_type,official,stadium,city,country,elevation,peru_condition,coach,coach_nationality,date
M0494,Uruguay,CONMEBOL,3,0,3,0,W,,W,Copa América 2007,Copa América/Sudamericano,True,Estadio Metropolitano de Mérida,Merida,Venezuela,1630,neutral,Julio César Uribe,Peru,26/06/2007
M0495,Venezuela,CONMEBOL,0,2,0,2,L,,L,Copa América 2007,Copa América/Sudamericano,True,Polideportivo de Pueblo Nuevo,San Cristobal,Venezuela,900,away,Julio César Uribe,Peru,30/06/2007
M0496,Bolivia,CONMEBOL,2,2,2,2,D,,D,Copa América 2007,Copa América/Sudamericano,True,Estadio Metropolitano de Mérida,Merida,Venezuela,1630,neutral,Julio César Uribe,Peru,03/07/2007
M0497,Argentina,CONMEBOL,0,4,0,4,L,,L,Copa América 2007,Copa América/Sudamericano,True,Estadio Metropolitano de Barquisimeto,Barquisimeto,Venezuela,640,neutral,Julio César Uribe,Peru,08/07/2007
M0498,Costa Rica,CONCACAF,1,1,1,1,D,,D,Amistoso,Amistoso,False,Estadio Ricardo Saprissa,San Jose,Costa Rica,1172,away,José Guillermo del Solar,Peru,22/08/2007
M0499,Colombia,CONMEBOL,2,2,2,2,D,,D,Amistoso,Amistoso,False,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,08/09/2007
M0500,Bolivia,CONMEBOL,2,0,2,0,W,,W,Amistoso,Amistoso,False,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,12/09/2007
M0501,Paraguay,CONMEBOL,0,0,0,0,D,,D,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,13/10/2007
M0502,Chile,CONMEBOL,0,2,0,2,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Nacional de Chile,Santiago,Chile,520,away,José Guillermo del Solar,Peru,17/10/2007
M0503,Brazil,CONMEBOL,1,1,1,1,D,,D,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,18/11/2007
M0504,Ecuador,CONMEBOL,1,5,1,5,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Olímpico Atahualpa,Quito,Ecuador,2850,away,José Guillermo del Solar,Peru,21/11/2007
M0505,Bolivia,CONMEBOL,1,2,1,2,L,,L,Amistoso,Amistoso,False,Estadio Hernando Siles,La Paz,Bolivia,3625,away,José Guillermo del Solar,Peru,06/02/2008
M0506,Costa Rica,CONCACAF,3,1,3,1,W,,W,Amistoso,Amistoso,False,Estadio Max Augustín,Iquitos,Peru,105,home,José Guillermo del Solar,Peru,26/03/2008
M0507,Spain,UEFA,1,2,1,2,L,,L,Amistoso,Amistoso,False,Estadio Nuevo Colombino,Huelva,Spain,24,away,José Guillermo del Solar,Peru,31/05/2008
M0508,Mexico,CONCACAF,0,4,0,4,L,,L,Amistoso,Amistoso,False,Soldier Field,Chicago,United States,182,neutral,José Guillermo del Solar,Peru,08/06/2008
M0509,Colombia,CONMEBOL,1,1,1,1,D,,D,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,14/06/2008
M0510,Uruguay,CONMEBOL,0,6,0,6,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,away,José Guillermo del Solar,Peru,17/06/2008
M0511,Venezuela,CONMEBOL,1,0,1,0,W,,W,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,06/09/2008
M0512,Argentina,CONMEBOL,1,1,1,1,D,,D,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,10/09/2008
M0513,Bolivia,CONMEBOL,0,3,0,3,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Hernando Siles,La Paz,Bolivia,3625,away,José Guillermo del Solar,Peru,11/10/2008
M0514,Paraguay,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Defensores del Chaco,Asuncion,Paraguay,89,away,José Guillermo del Solar,Peru,15/10/2008
M0515,El Salvador,CONCACAF,0,1,0,1,L,,L,Amistoso,Amistoso,False,Los Angeles Memorial Coliseum,Los Angeles,United States,93,neutral,José Guillermo del Solar,Peru,06/02/2009
M0516,Paraguay,CONMEBOL,0,1,0,1,L,,L,Amistoso,Amistoso,False,Estadio Alejandro Villanueva,Lima,Peru,154,home,José Guillermo del Solar,Peru,11/02/2009
M0517,Chile,CONMEBOL,1,3,1,3,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,29/03/2009
M0518,Brazil,CONMEBOL,0,3,0,3,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estádio Beira-Rio,Porto Alegre,Brazil,10,away,José Guillermo del Solar,Peru,01/04/2009
M0519,Ecuador,CONMEBOL,1,2,1,2,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,07/06/2009
M0520,Colombia,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Atanasio Girardot,Medellin,Colombia,1495,away,José Guillermo del Solar,Peru,10/06/2009
M0521,Uruguay,CONMEBOL,1,0,1,0,W,,W,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,José Guillermo del Solar,Peru,05/09/2009
M0522,Venezuela,CONMEBOL,1,3,1,3,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio General José Antonio Anzoátegui,Puerto La Cruz,Venezuela,16,away,José Guillermo del Solar,Peru,09/09/2009
M0523,Argentina,CONMEBOL,1,2,1,2,L,,L,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Monumental Antonio Vespucio Liberti,Buenos Aires,Argentina,25,away,José Guillermo del Solar,Peru,10/10/2009
M0524,Bolivia,CONMEBOL,1,0,1,0,W,,W,FIFA World Cup Qualifiers 2010,FIFA World Cup Qualifiers,True,Estadio Alejandro Villanueva,Lima,Peru,154,home,José Guillermo del Solar,Peru,14/10/2009
M0525,Honduras,CONCACAF,2,1,2,1,W,,W,Amistoso,Amistoso,False,Hard Rock Stadium,Miami,United States,2,neutral,José Guillermo del Solar,Peru,18/11/2009
M0526,Canada,CONCACAF,2,0,2,0,W,,W,Amistoso,Amistoso,False,BMO Field,Toronto,Canada,76,away,Sergio Markarián,Uruguay,04/09/2010
M0527,Jamaica,CONCACAF,2,1,2,1,W,,W,Amistoso,Amistoso,False,Lockhart Stadium,Fort Lauderdale,United States,2,neutral,Sergio Markarián,Uruguay,07/09/2010
M0528,Costa Rica,CONCACAF,2,0,2,0,W,,W,Amistoso,Amistoso,False,Estadio Alejandro Villanueva,Lima,Peru,154,home,Sergio Markarián,Uruguay,08/10/2010
M0529,Panama,CONCACAF,0,1,0,1,L,,L,Amistoso,Amistoso,False,Estadio Rommel Fernández,Panama City,Panama,2,away,Sergio Markarián,Uruguay,12/10/2010
M0530,Colombia,CONMEBOL,1,1,1,1,D,,D,Amistoso,Amistoso,False,Estadio El Campín,Bogota,Colombia,2582,away,Sergio Markarián,Uruguay,17/11/2010
M0531,Panama,CONCACAF,1,0,1,0,W,,W,Amistoso,Amistoso,False,Estadio 25 de Noviembre,Moquegua,Peru,1410,home,Sergio Markarián,Uruguay,08/02/2011
M0532,Ecuador,CONMEBOL,0,0,0,0,D,,D,Amistoso,Amistoso,False,ADO Den Haag Stadium,Den Haag,Netherlands,1,neutral,Sergio Markarián,Uruguay,29/03/2011
M0533,Japan,AFC,0,0,0,0,D,,D,Kirin Cup 2011,Kirin Cup,False,Denka Big Swan Stadium,Niigata,Japan,3,away,Sergio Markarián,Uruguay,01/06/2011
M0534,Czech Republic,UEFA,0,0,0,0,D,,D,Kirin Cup 2011,Kirin Cup,False,Sunpro Alwin,Nagano,Japan,350,neutral,Sergio Markarián,Uruguay,04/06/2011
M0535,Uruguay,CONMEBOL,1,1,1,1,D,,D,Copa América 2011,Copa América/Sudamericano,True,Estadio Bicentenario,San Juan,Argentina,640,neutral,Sergio Markarián,Uruguay,04/07/2011
M0536,Mexico,CONCACAF,1,0,1,0,W,,W,Copa América 2011,Copa América/Sudamericano,True,Estadio Malvinas Argentinas,Mendoza,Argentina,769,neutral,Sergio Markarián,Uruguay,08/07/2011
M0537,Chile,CONMEBOL,0,1,0,1,L,,L,Copa América 2011,Copa América/Sudamericano,True,Estadio Malvinas Argentinas,Mendoza,Argentina,769,neutral,Sergio Markarián,Uruguay,12/07/2011
M0538,Colombia,CONMEBOL,2,0,2,0,W,,W,Copa América 2011,Copa América/Sudamericano,True,Estadio Mario Kempes,Cordoba,Argentina,440,neutral,Sergio Markarián,Uruguay,16/07/2011
M0539,Uruguay,CONMEBOL,0,2,0,2,L,,L,Copa América 2011,Copa América/Sudamericano,True,Estadio Único,La Plata,Argentina,26,neutral,Sergio Markarián,Uruguay,19/07/2011
M0540,Venezuela,CONMEBOL,4,1,4,1,W,,W,Copa América 2011,Copa América/Sudamericano,True,Estadio Único,La Plata,Argentina,26,neutral,Sergio Markarián,Uruguay,23/07/2011
M0541,Bolivia,CONMEBOL,2,2,2,2,D,,D,Amistoso,Amistoso,False,Estadio Nacional de Perú,Lima,Peru,154,home,Sergio Markarián,Uruguay,02/09/2011
M0542,Bolivia,CONMEBOL,0,0,0,0,D,,D,Amistoso,Amistoso,False,Estadio Hernando Siles,La Paz,Bolivia,3625,away,Sergio Markarián,Uruguay,05/09/2011
M0543,Paraguay,CONMEBOL,2,0,2,0,W,,W,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Sergio Markarián,Uruguay,07/10/2011
M0544,Chile,CONMEBOL,2,4,2,4,L,,L,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Monumental David Arellano,Santiago,Chile,520,away,Sergio Markarián,Uruguay,11/10/2011
M0545,Ecuador,CONMEBOL,0,2,0,2,L,,L,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Olímpico Atahualpa,Quito,Ecuador,2850,away,Sergio Markarián,Uruguay,15/11/2011
M0546,Tunisia,CAF,1,1,1,1,D,,D,Amistoso,Amistoso,False,El Menzah Stadium,Tunis,Tunisia,4,away,Sergio Markarián,Uruguay,29/02/2012
M0547,Chile,CONMEBOL,1,3,1,3,L,,L,Copa del Pacífico 2012,Copa del Pacífico,False,Estadio Carlos Dittborn,Arica,Chile,2,away,Sergio Markarián,Uruguay,21/03/2012
M0548,Chile,CONMEBOL,0,3,0,3,L,,L,Copa del Pacífico 2012,Copa del Pacífico,False,Estadio Jorge Basadre,Tacna,Peru,562,home,Sergio Markarián,Uruguay,11/04/2012
